4.4,35.81
4.41,35.83
4.42,35.84
4.43,35.85
4.44,35.86
4.45,35.87
4.46,35.89
4.47,35.9
4.48,35.91
4.49,35.92
4.5,35.93
4.51,35.94
4.52,35.95
4.53,35.96
4.54,35.98
4.55,35.99
4.56,36.0
4.57,36.01
4.58,36.02
4.59,36.03
4.6,36.04
4.61,36.05
4.62,36.06
4.63,36.07
4.64,36.08
4.65,36.08
